SOFIA_name,Coordinates,R37,alpha,R,env_mass,env_mass_std,calc_mass,sLsun,sLsun_std,Lbol,inc,ext,s
NGC1333.8,03h29m03.7s +31d16m03.9s,0.770085237197,1.14489943225,1.06154005,1.94599997997,0.74572634697,2.01972472416,17.0,2.38939857483,35.1064063348,0.0,13.0,1.29999995232
Oph.3,16h27m09.4s -24d37m18.3s,0.992850165118,0.574003218144,1.54348170234,0.00400000018999,0.00181560008787,0.0404777534421,85.0,19.7419528961,13.3947191576,0.0,14.0,1.0
Oph.7,16h27m28.0s -24d39m33.8s,0.970612290989,1.35304936838,1.39202384065,0.0149999996647,0.00233952398412,0.0255648969108,26.579000473,3.49349093437,6.47409059038,71.5915222168,14.0,0.699999988079
Oph.8,16h27m37.2s -24d30m34.8s,1.01530330326,0.545431117806,1.13320243545,0.00700000021607,0.00184333475772,0.0255648969108,17.716999054,3.38727927208,5.01777861626,77.8468017578,12.0,0.699999988079
NGC1333.9,03h28m55.6s +31d14m36.6s,0.79950882835,2.79351383545,2.62430016271,2.91899991035,0.353591054678,1.7205062465,17.0,2.41245937347,24.2829848534,18.6717185974,14.0,0.850000023842
Oph.1,16h27m10.3s -24d19m12.9s,0.916298194129,0.26886507124,0.666547474762,0.00999999977648,0.00181967089884,0.0404777534421,7.875,1.27332532406,3.63309639601,77.8468017578,3.0,0.699999988079
NGC1333.11,03h28m37.1s +31d13m30.0s,1.01680975093,1.69873568699,0.986344530114,0.577000021935,0.132801041007,0.269296629887,7.69999980927,0.703212618828,7.47518860166,18.6717185974,14.0,0.850000023842
NGC1333.10,03h28m57.4s +31d14m15.0s,0.79938862561,1.83162243094,1.15585565088,0.256000012159,0.17840051651,0.448827716479,5.59999990463,0.929834246635,4.82224265136,18.6717185974,14.0,0.699999988079
NGC1333.1,03h29m07.7s +31d21m57.0s,0.746144557991,0.279855951693,3.39843175454,0.00400000018999,0.0046753026545,0.972460052371,32.5,7.79543972015,8.3845822239,50.8332901001,14.0,1.29999995232
NGC1333.3,03h29m01.5s +31d20m20.5s,0.904211634658,0.713901283083,3.39361285817,0.00400000018999,0.0271901749074,1.1220692912,3.5,2.05520224571,8.104207252,0.0,14.0,1.14999997616
Oph.6,16h27m15.7s -24d38m45.8s,1.29413119865,2.54098870572,0.901259481907,0.0010000000475,0.00136721332092,0.0200258359135,26.579000473,6.56240510941,0.767300326406,90.0,13.0,0.699999988079
Oph.2,16h26m44.2s -24d34m48.2s,0.925523367665,0.828852585905,1.96834240739,0.00400000018999,0.000314375589369,0.0511297938217,8.0,1.2239729166,1.19075734971,74.742477417,14.0,1.0
Oph.9,16h27m21.8s -24d29m53.7s,0.0,0.50534306908,2.07677460214,0.0010000000475,0.0,0.00852163230361,11.8159990311,1.15939152241,0.990687160773,80.9152832031,14.0,0.699999988079
Oph.10,16h27m17.5s -24d28m55.0s,1.26014620327,0.503233630915,1.31334331173,0.00200000009499,0.000712839071639,0.00426081615181,2.88599991798,0.339554995298,0.563149070408,80.9152832031,14.0,1.14999997616
Oph.5,16h27m06.8s -24d38m15.4s,1.30789471572,0.311925601274,1.35587649352,0.0010000000475,0.0,0.0319561211385,4.25,0.463816165924,0.544751950568,80.9152832031,14.0,0.850000023842
NGC1333.4,03h29m11.1s +31d18m30.8s,1.10255145149,1.89764342982,0.830833722964,2.91899991035,0.44650888443,1.49609238826,2.33099985123,0.350655257702,3.05524672219,18.6717185974,11.0,0.699999988079
NGC1333.7,03h28m43.4s +31d17m34.8s,1.18928947074,1.07620372149,1.83294855832,0.0010000000475,0.000995495123789,,9.5625,1.75868034363,1.35668649749,58.2431373596,0.0,0.699999988079
Oph.16,16h26m24.1s -24d24m48.3s,1.79788011537,-0.755982220492,1.86938948501,0.0010000000475,0.0,,17.716999054,2.92358374596,2.1758430628,77.8468017578,10.0,0.699999988079
NGC1333.5,03h29m10.6s +31d18m19.6s,1.62346989206,1.7048483923,0.765792822465,1.29700005054,0.326535224915,1.49609238826,1.25800001621,0.261527776718,2.78605885712,18.6717185974,14.0,0.850000023842
Oph.13,16h27m30.1s -24d27m43.3s,0.0,-0.373530732203,2.22573606372,0.0010000000475,0.0,0.00852163230361,17.716999054,5.50183010101,1.49126920974,80.9152832031,14.0,0.699999988079
NGC1333.6,03h29m13.0s +31d18m13.8s,0.950532415301,1.00103456054,1.20506087691,0.0010000000475,0.000698299671058,0.471269102303,7.5,1.18858706951,1.49504951517,26.525352478,14.0,1.29999995232
Oph.15,16h27m29.4s -24d39m16.6s,1.25054744655,0.0988967291792,1.12223621651,0.00400000018999,0.000699043797795,0.0191736726831,3.32999992371,0.410339981318,0.565568796112,26.525352478,14.0,1.0
Oph.17,16h26m23.6s -24d24m39.4s,0.955404403336,-0.0874059167202,1.20860745851,0.0010000000475,0.0,,5.25,0.646468579769,1.2867654215,80.9152832031,14.0,0.699999988079
Oph.19,16h26m30.5s -24d22m59.9s,2.51018123838,0.571762485338,0.840450995498,0.0010000000475,0.000639393168967,0.00852163230361,5.25,1.01970863342,1.24139481946,71.5915222168,14.0,0.699999988079
Oph.18,16h26m17.2s -24d23m45.1s,1.18065378659,0.628200550139,1.1511769712,0.00300000002608,0.00164219690487,0.0362169372903,2.83050012589,0.97155559063,0.281604556425,80.9152832031,14.0,0.850000023842
Oph.14,16h27m28.4s -24d27m21.1s,1.89409319313,-0.131345990005,1.00206324384,0.0010000000475,0.000942560960539,0.021304080759,4.25,0.559817016125,0.950773582472,80.9152832031,14.0,0.699999988079
